   600: >>> E[0:00:00]-R[0:00:01]: Return=    0.4718, Steps=9.22, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=     0.531, Steps=10.02, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=    0.4715, Steps=9.51, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=     0.392, Steps=8.97, Features = 20
  1400: >>> E[0:00:01]-R[0:00:00]: Return=    0.4911, Steps=9.92, Features = 20
  1600: >>> E[0:00:01]-R[0:00:00]: Return=    0.5519, Steps=9.13, Features = 20
  1800: >>> E[0:00:01]-R[0:00:00]: Return=    0.6115, Steps= 9.5, Features = 20
  2000: >>> E[0:00:01]-R[0:00:00]: Return=    0.6508, Steps=10.23, Features = 20
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=   -0.8847, Steps=5.76, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     1.238, Steps=43.93, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=     1.167, Steps=24.36, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=     1.107, Steps=24.58, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=     1.257, Steps=24.52, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=     1.139, Steps=22.96, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=     1.314, Steps=27.51, Features = 20
  1400: >>> E[0:00:01]-R[0:00:00]: Return=     1.107, Steps=24.66, Features = 20
  1600: >>> E[0:00:01]-R[0:00:00]: Return=     1.257, Steps=24.76, Features = 20
  1800: >>> E[0:00:01]-R[0:00:00]: Return=     1.075, Steps=26.7, Features = 20
  2000: >>> E[0:00:01]-R[0:00:00]: Return=     1.169, Steps=23.09, Features = 20
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=   -0.8847, Steps=5.76, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     1.238, Steps=43.93, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=     1.167, Steps=24.36, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=     1.107, Steps=24.58, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=     1.257, Steps=24.52, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=     1.139, Steps=22.96, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=     1.314, Steps=27.51, Features = 20
  1400: >>> E[0:00:01]-R[0:00:00]: Return=     1.107, Steps=24.66, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=     1.771, Steps=170.94, Features = 121
    44: E[0:00:00]-R[0:00:01]: Return=     1.958, Steps=  44, Features = 121
   200: >>> E[0:00:00]-R[0:00:02]: Return=      1.74, Steps=141.9, Features = 121
     0: >>> E[0:00:00]-R[?]: Return=   -0.8847, Steps=5.76, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     1.238, Steps=43.93, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=     1.167, Steps=24.36, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=     1.107, Steps=24.58, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=     1.257, Steps=24.52, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=     1.139, Steps=22.96, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.8847, Steps=5.76, Features = 20
     3: E[0:00:00]-R[0:00:02]: Return=    -1.002, Steps=   3, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.8847, Steps=5.76, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     1.238, Steps=43.93, Features = 20
